time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/22/13:55:09.534607,693,1540209309,534426434,odom,base_link,-1.71052825727,2.61054829847,0.0,0.0,0.0,-0.244796593599,0.969574457049,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04861844004915385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15651979885863687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8.00672789596,0.0,0.0,0.0,0.0,2841.09070554,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.544708,694,1540209309,544407327,odom,base_link,-1.72616302728,2.63524688165,0.0,0.0,0.0,-0.24421619925,0.969720809318,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04973070370816746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1582087395535092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.99392971299,0.0,0.0,0.0,0.0,2824.35892025,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.554535,695,1540209309,554294896,odom,base_link,-1.73361333413,2.64843156279,0.0,0.0,0.0,-0.244440678496,0.969664248437,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050722316023881595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15945624202741593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.51525031557,0.0,0.0,0.0,0.0,2839.43988346,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.564502,696,1540209309,564309814,odom,base_link,-1.74773948917,2.67649488611,0.0,0.0,0.0,-0.245934548223,0.969286437535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051679982254896596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16063212114357048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.00345860913,0.0,0.0,0.0,0.0,2804.86582541,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.574509,697,1540209309,574319597,odom,base_link,-1.76857883058,2.71996346603,0.0,0.0,0.0,-0.248894754981,0.968530536918,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05269616843668734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16209259877476187, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.54769566785,0.0,0.0,0.0,0.0,2825.39547507,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.584487,698,1540209309,584206789,odom,base_link,-1.77597156456,2.73384186388,0.0,0.0,0.0,-0.24943570315,0.968391361999,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053577492695336085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16310791146126796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.54500632116,0.0,0.0,0.0,0.0,2895.79724302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.594399,699,1540209309,594244262,odom,base_link,-1.81505228684,2.74911363953,0.0,0.0,0.0,-0.246220698052,0.969213788517,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.054585804122317144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16338262945950857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.15773396172,0.0,0.0,0.0,0.0,2857.74167068,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.604473,700,1540209309,604348814,odom,base_link,-1.8398428092,2.7874016254,0.0,0.0,0.0,-0.245529381363,0.969389149355,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05568872662250228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16376708693890982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.59185306932,0.0,0.0,0.0,0.0,2804.64722504,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.614655,701,1540209309,614475441,odom,base_link,-1.85700699422,2.81208553204,0.0,0.0,0.0,-0.244444616611,0.969663255677,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05676932625323014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16390470865837922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.0675128612,0.0,0.0,0.0,0.0,2787.27153676,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/22/13:55:09.624776,702,1540209309,624495155,odom,base_link,-1.87392228235,2.83751616852,0.0,0.0,0.0,-0.243778791912,0.969830861859,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05782436904436505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16378966082018215, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.11854340966,0.0,0.0,0.0,0.0,2808.4895115,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
