time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/11/05/11:07:04.086107,95552,1541412424,82766165,odom,base_link,1.51633429527,0.458190798759,0.0,0.0,0.0,0.970137725087,0.242554724472,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1002083434838991e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.415669493588221e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,-5382.84786474,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.098512,95553,1541412424,97495456,odom,base_link,1.51442849636,0.457381159067,0.0,0.0,0.0,0.970170676356,0.242422892355,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1260082556106e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.382208829714458e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.142691260431,0.0,0.0,0.0,0.0,-10317.4383545,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.126967,95554,1541412424,125674340,odom,base_link,1.5140298605,0.45724105835,0.0,0.0,0.0,0.97016936898,0.242428124387,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1573088052188043e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2866825491180886e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0151048470691,0.0,0.0,0.0,0.0,-5279.61947028,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.150843,95555,1541412424,149672845,odom,base_link,1.5136950016,0.457126617432,0.0,0.0,0.0,0.970168529661,0.242431483218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1933941398605761e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1290674146548067e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0149014822058,0.0,0.0,0.0,0.0,-6246.18704111,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.182797,95556,1541412424,181675089,odom,base_link,1.51329183578,0.456982642412,0.0,0.0,0.0,0.97016914301,0.242429028688,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2202643577280037e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.232836818241021e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0134579167782,0.0,0.0,0.0,0.0,-4624.47404381,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.196494,95557,1541412424,193701116,odom,base_link,1.51315677166,0.456933230162,0.0,0.0,0.0,0.970166947837,0.242437813315,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2449638713623777e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.33748172212616e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0121456853702,0.0,0.0,0.0,0.0,-12679.5880652,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.230116,95558,1541412424,228270258,odom,base_link,1.5126760006,0.456748902798,0.0,0.0,0.0,0.970169110729,0.242429157873,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.273469137321589e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4544488408161115e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0150597376464,0.0,0.0,0.0,0.0,-4291.99536316,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.248144,95559,1541412424,247203166,odom,base_link,1.51239597797,0.456633418798,0.0,0.0,0.0,0.970168529661,0.242431483218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3022049933807025e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5780335645791215e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0161707027723,0.0,0.0,0.0,0.0,-7959.53954611,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.290933,95560,1541412424,289767030,odom,base_link,1.51181328297,0.45639115572,0.0,0.0,0.0,0.970163558075,0.242451377773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3369493465928722e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.720146107464268e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0148859127291,0.0,0.0,0.0,0.0,-3432.1851832,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/05/11:07:04.347291,95561,1541412424,346278135,odom,base_link,1.51088321209,0.456032812595,0.0,0.0,0.0,0.970159829117,0.242466298623,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.383407031847226e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8933442803049779e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0177047971453,0.0,0.0,0.0,0.0,-2546.95094684,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
