time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/19/09:21:15.669728,5091,1539933675,668595508,odom,base_link,3.9446301009,-3.63679094168,0.0,0.0,0.0,0.208129480016,0.978101282868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000818194978684753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0005894631213641824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0107821806656,0.0,0.0,0.0,0.0,-318.245320703,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:15.729565,5092,1539933675,728669518,odom,base_link,3.9446301009,-3.63679094168,0.0,0.0,0.0,0.208129480016,0.978101282868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008612012878623092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006252613365142945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,-377.734603552,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:15.848054,5093,1539933675,834198285,odom,base_link,3.9400518361,-3.64033605229,0.0,0.0,0.0,0.207887890918,0.978152659256,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008981337963886829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006646445747113837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0560382076895,0.0,0.0,0.0,0.0,-204.03473582,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:15.975075,5094,1539933675,973750616,odom,base_link,3.9360311069,-3.6431590385,0.0,0.0,0.0,0.207798767241,0.978171596568,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009392830814821553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007070120491330388, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0355442085497,0.0,0.0,0.0,0.0,-148.50656508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:16.066952,5095,1539933676,64727891,odom,base_link,3.93354649144,-3.64495463027,0.0,0.0,0.0,0.207709918628,0.978190466987,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009810772063891192, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007505979571038333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0342114979154,0.0,0.0,0.0,0.0,-240.656972682,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:16.208582,5096,1539933676,168674487,odom,base_link,3.930555211,-3.64708740063,0.0,0.0,0.0,0.20760984995,0.978211710318,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010237388486041283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007957561078954604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0357799985575,0.0,0.0,0.0,0.0,-207.119263251,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:16.313865,5097,1539933676,312898524,odom,base_link,3.93223337492,-3.64416273976,0.0,0.0,0.0,0.208402329042,0.978043183735,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0010666284248897718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00083521019569947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.030065191803,0.0,0.0,0.0,0.0,-142.35645272,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:16.329288,5098,1539933676,328469295,odom,base_link,3.93223337492,-3.64416273976,0.0,0.0,0.0,0.208402329042,0.978043183735,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011104400178303803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008735805661629385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,-1545.44757238,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:16.448508,5099,1539933676,447642997,odom,base_link,3.92935906601,-3.64781831068,0.0,0.0,0.0,0.209416123691,0.977826614047,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011579447126239927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009165568716787488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0347575907982,0.0,0.0,0.0,0.0,-177.973264513,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:21:16.549403,5100,1539933676,534441990,odom,base_link,3.92706509309,-3.64840527479,0.0,0.0,0.0,0.209488566196,0.977811096599,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012079795563455056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009590573209620984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.027628006853,0.0,0.0,0.0,0.0,-254.985905532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
