time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/18/16:42:26.491199,6308,1539873746,464867864,odom,base_link,4.18998825556,-5.12549695371,0.0,0.0,0.0,-0.727115514767,0.686515133253,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.466883244643678e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.212088590864348e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0785487238513,0.0,0.0,0.0,0.0,687.909964354,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:26.528525,6309,1539873746,526436521,odom,base_link,4.19036149372,-5.1256168813,0.0,0.0,0.0,-0.727133980338,0.686495575105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.166833390936543e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.170214298741438e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00567762158598,0.0,0.0,0.0,0.0,1428.93172001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:26.648631,6310,1539873746,634633996,odom,base_link,4.19291155687,-5.12659735409,0.0,0.0,0.0,-0.727526157978,0.686079943926,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.28518524840752e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.185751843561069e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0169466221207,0.0,0.0,0.0,0.0,770.291327149,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:26.722750,6311,1539873746,713483726,odom,base_link,4.19403157702,-5.12780085514,0.0,0.0,0.0,-0.727604583271,0.685996771424,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.422962299856393e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.223963803789792e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.019194929197,0.0,0.0,0.0,0.0,1093.78542856,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:26.851104,6312,1539873746,828004684,odom,base_link,4.19518494326,-5.12937705512,0.0,0.0,0.0,-0.727517798752,0.686088808026,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.376383703208987e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.188090097055123e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0183587627684,0.0,0.0,0.0,0.0,724.232604522,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:26.951420,6313,1539873746,950011851,odom,base_link,4.19693518986,-5.13082448127,0.0,0.0,0.0,-0.72769272615,0.685903270373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.325396329158872e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.157862471206104e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0159152760019,0.0,0.0,0.0,0.0,673.096343495,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:27.114327,6314,1539873747,97039865,odom,base_link,4.19858381241,-5.13207597173,0.0,0.0,0.0,-0.727837336643,0.685749816907,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.222148727944436e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.097959707237673e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0121467853861,0.0,0.0,0.0,0.0,542.734599411,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:27.118728,6315,1539873747,113403268,odom,base_link,4.19038953624,-5.12713232465,0.0,0.0,0.0,-0.729664885489,0.68380490996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.641382456469293e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.7981569909455246e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.853292640074,0.0,0.0,0.0,0.0,5701.50032161,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:27.266102,6316,1539873747,260241648,odom,base_link,4.19028815472,-5.12714855055,0.0,0.0,0.0,-0.729703400229,0.683763809874,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.945977326755493e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.421684191794596e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00134470926004,0.0,0.0,0.0,0.0,545.370046933,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:42:27.399980,6317,1539873747,322043177,odom,base_link,4.1898639456,-5.12693668382,0.0,0.0,0.0,-0.729832039069,0.683626502374,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.995242616328983e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4644453208070086e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0127980738813,0.0,0.0,0.0,0.0,1446.10121275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
