time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/19/09:14:10.993918,924,1539933250,990747928,odom,base_link,3.91354763645,-6.72464628135,0.0,0.0,0.0,0.524426859834,0.85145550012,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.277584016035305e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.98627478958221e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.152471441661,0.0,0.0,0.0,0.0,-797.641916859,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.115479,925,1539933251,89479945,odom,base_link,3.9136434411,-6.72399905863,0.0,0.0,0.0,0.524442080768,0.851446125084,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.405147227950363e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2690373781429554e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00674291262043,0.0,0.0,0.0,0.0,-578.697800414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.206956,926,1539933251,206052588,odom,base_link,3.91425148535,-6.7205678999,0.0,0.0,0.0,0.524390776764,0.851477723282,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.520319760254329e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.730401732214265e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0297061000471,0.0,0.0,0.0,0.0,-480.417049649,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.280305,927,1539933251,279242264,odom,base_link,3.91449289454,-6.7194169621,0.0,0.0,0.0,0.524272089984,0.851550806273,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.72824346581074e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.273328752642878e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0155997049597,0.0,0.0,0.0,0.0,-803.63052037,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.378361,928,1539933251,375790971,odom,base_link,3.91508262671,-6.71801232437,0.0,0.0,0.0,0.524296100288,0.851536023444,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.952113276784618e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.8858462751730534e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0158595343616,0.0,0.0,0.0,0.0,-593.345594468,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.519142,929,1539933251,504524523,odom,base_link,3.91598103681,-6.7157654869,0.0,0.0,0.0,0.524327423612,0.851516736681,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.20102509791487e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.615962157466574e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0188801544786,0.0,0.0,0.0,0.0,-428.92663922,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.627052,930,1539933251,617696042,odom,base_link,3.91663246118,-6.71431513352,0.0,0.0,0.0,0.524415720385,0.851462361008,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.448471241125488e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.417250984685937e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.014244312864,0.0,0.0,0.0,0.0,-497.180504941,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.788293,931,1539933251,781947454,odom,base_link,3.91377377454,-6.72976120649,0.0,0.0,0.0,0.524967652833,0.851122178937,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.573124128571641e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.466748812288369e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0941014774992,0.0,0.0,0.0,0.0,-322.281509933,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.893787,932,1539933251,891579853,odom,base_link,3.91278432434,-6.72761334707,0.0,0.0,0.0,0.524770182938,0.851243945705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.65008337666683e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.559723138047847e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0191287193617,0.0,0.0,0.0,0.0,-521.610120809,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/09:14:11.909207,933,1539933251,906186192,odom,base_link,3.91272694457,-6.72741331794,0.0,0.0,0.0,0.524786930297,0.851233621158,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.698413608823757e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.66280886922258e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0165861834068,0.0,0.0,0.0,0.0,-4460.92314474,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
