time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/18/16:51:59.543407,12011,1539874319,541547724,odom,base_link,3.98194632992,-6.4136738052,0.0,0.0,0.0,-0.634397409305,0.773007067928,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3595161945213e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016580592250816848, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0248121404301,0.0,0.0,0.0,0.0,736.74435036,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:51:59.684803,12012,1539874319,670497422,odom,base_link,3.98197978486,-6.41698455219,0.0,0.0,0.0,-0.634430604329,0.772979823987,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.156374990876992e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000166425727805506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0258395214695,0.0,0.0,0.0,0.0,533.200273153,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:51:59.737531,12013,1539874319,734542511,odom,base_link,3.98232171484,-6.4021172159,0.0,0.0,0.0,-0.633752936917,0.773535529209,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9247301253177318e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001624145953313382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.239430489005,0.0,0.0,0.0,0.0,1156.54180604,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:51:59.881839,12014,1539874319,865672666,odom,base_link,3.98244032941,-6.40277194308,0.0,0.0,0.0,-0.633748456298,0.773539200131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9036729790280488e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016242094156288924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0050824900367,0.0,0.0,0.0,0.0,522.24763501,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:51:59.936018,12015,1539874319,923738058,odom,base_link,3.98244032941,-6.40277194308,0.0,0.0,0.0,-0.633748456298,0.773539200131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.885577680312431e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016243658203003692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,1282.0030266,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:52:00.031731,12016,1539874320,30664169,odom,base_link,3.98287371518,-6.4048255422,0.0,0.0,0.0,-0.634065909578,0.77327900677,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8649726461817205e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001625890798013092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.020735037274,0.0,0.0,0.0,0.0,660.969836974,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:52:00.140307,12017,1539874320,138432186,odom,base_link,3.98235777751,-6.40564702178,0.0,0.0,0.0,-0.63396437734,0.773362249055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.841757330889008e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016270742144415656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00774337390894,0.0,0.0,0.0,0.0,653.319975002,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:52:00.220323,12018,1539874320,217349790,odom,base_link,3.9823028452,-6.40613808913,0.0,0.0,0.0,-0.634020962831,0.773315859588,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8221537330644026e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001626728692543245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00692518843077,0.0,0.0,0.0,0.0,921.204297983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:52:00.384031,12019,1539874320,355995143,odom,base_link,3.98194459752,-6.40771092785,0.0,0.0,0.0,-0.634056951291,0.773286352214,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8039900649544477e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016250441630019308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0118960834648,0.0,0.0,0.0,0.0,489.684576535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/18/16:52:00.529529,12020,1539874320,493490500,odom,base_link,3.98163320957,-6.40933477533,0.0,0.0,0.0,-0.63410184484,0.773249539521,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7919016475993846e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00016206775720998284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0123307611474,0.0,0.0,0.0,0.0,494.45632735,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
