time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/17/14:27:46.686222,1709,1539779266,685912247,odom,base_link,3.77533163628,-6.47555097602,0.0,0.0,0.0,-0.664488762751,0.747298256506,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.488692933057758e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.632020999154387e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00081210729038,0.0,0.0,0.0,0.0,750.089100666,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:46.786203,1710,1539779266,785947505,odom,base_link,3.77540787838,-6.4754687487,0.0,0.0,0.0,-0.664568515257,0.747227333901,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4877579356068096e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.722890101709138e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00120693029676,0.0,0.0,0.0,0.0,750.58949018,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:46.886074,1711,1539779266,885877443,odom,base_link,3.77505740303,-6.47521453009,0.0,0.0,0.0,-0.66452926185,0.747262243222,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5130399229552184e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.107063397755445e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00373078970491,0.0,0.0,0.0,0.0,751.555097361,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:46.986086,1712,1539779266,985887239,odom,base_link,3.77497577039,-6.47527911367,0.0,0.0,0.0,-0.664550008176,0.747243793306,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5454075611995392e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.389996519794614e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00146493239087,0.0,0.0,0.0,0.0,750.264972886,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:47.086142,1713,1539779267,85903628,odom,base_link,3.77515626859,-6.47533761701,0.0,0.0,0.0,-0.664647613508,0.747156978056,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5420569052829367e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.58840025782982e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000934899127984,0.0,0.0,0.0,0.0,750.247891146,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:47.186165,1714,1539779267,185920105,odom,base_link,3.77475943952,-6.47517952077,0.0,0.0,0.0,-0.664549759422,0.747244014531,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.621361468847365e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.919381125357847e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00254653259898,0.0,0.0,0.0,0.0,750.420804697,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:47.286060,1715,1539779267,285892907,odom,base_link,3.77478065606,-6.47523222621,0.0,0.0,0.0,-0.664552396209,0.747241669537,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6781563617877848e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.048318203080935e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00055611510792,0.0,0.0,0.0,0.0,750.689838832,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:47.386083,1716,1539779267,385911497,odom,base_link,3.77476987362,-6.47518404008,0.0,0.0,0.0,-0.664500454952,0.747287859776,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7112450241796262e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.393509295772957e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00123406808429,0.0,0.0,0.0,0.0,750.460559473,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:47.486180,1717,1539779267,485944748,odom,base_link,3.77492063682,-6.47524235029,0.0,0.0,0.0,-0.664559162267,0.747235652152,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7552115071847496e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.642419836988709e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000761425039088,0.0,0.0,0.0,0.0,750.064946325,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:27:47.586127,1718,1539779267,585911034,odom,base_link,3.77459098849,-6.47508568508,0.0,0.0,0.0,-0.664470452936,0.747314536976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8281579816937326e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.13715252887097e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00222045454559,0.0,0.0,0.0,0.0,750.681805379,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
