time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/17/15:41:37.877527,546,1539783697,877222527,odom,base_link,3.53346144992,-1.13700187207,0.0,0.0,0.0,-0.583573169705,0.812060561535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2172303653933537e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.487033166998795e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00121513966111,0.0,0.0,0.0,0.0,643.305436067,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:37.977481,547,1539783697,977206169,odom,base_link,3.5335369751,-1.13695382295,0.0,0.0,0.0,-0.583539256171,0.812084931831,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1051685912228627e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.41328050076175e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00159572009569,0.0,0.0,0.0,0.0,643.636159475,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.077436,548,1539783698,77206286,odom,base_link,3.53397885177,-1.13692266038,0.0,0.0,0.0,-0.583740667902,0.811940165675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.033564302660954e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.335625376163519e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00111583482026,0.0,0.0,0.0,0.0,642.928055302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.177441,549,1539783698,177200362,odom,base_link,3.53453389374,-1.13704267375,0.0,0.0,0.0,-0.583902938919,0.81182347707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9752045940820962e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.286021400436151e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00326254410445,0.0,0.0,0.0,0.0,643.24434395,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.277445,550,1539783698,277248121,odom,base_link,3.53376819503,-1.13712958886,0.0,0.0,0.0,-0.583415325921,0.81217396996,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9270939001769914e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.234585751166633e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00312604349086,0.0,0.0,0.0,0.0,643.487097377,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.377458,551,1539783698,377255298,odom,base_link,3.53442011461,-1.13721167125,0.0,0.0,0.0,-0.583648738214,0.812006250211,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8678447290998689e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.181200310500843e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00303897776475,0.0,0.0,0.0,0.0,642.723355639,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.477537,552,1539783698,477258025,odom,base_link,3.53396599693,-1.13732451728,0.0,0.0,0.0,-0.583480063869,0.812127462328,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.823389579798949e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.138308205352015e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00119507049479,0.0,0.0,0.0,0.0,643.113720634,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.577507,553,1539783698,577250753,odom,base_link,3.53421357999,-1.13746756217,0.0,0.0,0.0,-0.583511843451,0.812104629067,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7776566002159447e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.100631851034632e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00247253279709,0.0,0.0,0.0,0.0,643.078415006,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.677412,554,1539783698,677177949,odom,base_link,3.53481674963,-1.13789777226,0.0,0.0,0.0,-0.583659023574,0.811998857266,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7615136744986613e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.135236891295212e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00614306291846,0.0,0.0,0.0,0.0,643.77676403,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/15:41:38.777443,555,1539783698,777205247,odom,base_link,3.53513804346,-1.13798459987,0.0,0.0,0.0,-0.583609474578,0.81203447044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7448591636766417e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.161446597725126e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00423144126185,0.0,0.0,0.0,0.0,642.920747798,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
