time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/17/14:26:42.286214,1065,1539779202,285962577,odom,base_link,3.51161133983,-1.5345983539,0.0,0.0,0.0,0.0166129170388,0.999861995971,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.533017939904737e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.684974684906089e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00246869554074,0.0,0.0,0.0,0.0,-17.2169931611,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.386157,1066,1539779202,385964964,odom,base_link,3.51141207072,-1.53453908789,0.0,0.0,0.0,0.0165376327436,0.999863244001,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5889484830795058e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.002141726095929e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00206922822119,0.0,0.0,0.0,0.0,-17.1576155352,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.486124,1067,1539779202,485918858,odom,base_link,3.51131993155,-1.53459488798,0.0,0.0,0.0,0.0165441628366,0.999863135972,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.640665903178049e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.346972431715164e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00102888272808,0.0,0.0,0.0,0.0,-17.0827413948,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.586220,1068,1539779202,586006096,odom,base_link,3.51122819471,-1.53440270448,0.0,0.0,0.0,0.0164302959285,0.999865013577,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.6951353468750025e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.832494583722937e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000853910557301,0.0,0.0,0.0,0.0,-17.0822468424,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.686176,1069,1539779202,685982330,odom,base_link,3.51105167436,-1.53430466848,0.0,0.0,0.0,0.0163944916375,0.99986560129,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.760994363109733e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1393468223016103e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00178622785458,0.0,0.0,0.0,0.0,-16.9689413433,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.786218,1070,1539779202,786059994,odom,base_link,3.51089062938,-1.53407863259,0.0,0.0,0.0,0.0161988314578,0.999868790322,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.827071243998946e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3094025492777776e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00184083994171,0.0,0.0,0.0,0.0,-16.9293663149,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.886316,1071,1539779202,886062734,odom,base_link,3.51086362258,-1.53427919026,0.0,0.0,0.0,0.0162883018659,0.999867336811,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8712124246612e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4525681524508089e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000581404250744,0.0,0.0,0.0,0.0,-16.7121568665,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:42.986167,1072,1539779202,985982313,odom,base_link,3.51091744788,-1.53425358322,0.0,0.0,0.0,0.0162182346147,0.999868475784,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.88546662004646e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5901880718578964e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00110040420902,0.0,0.0,0.0,0.0,-16.8421707372,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:43.086206,1073,1539779203,85998609,odom,base_link,3.51095742353,-1.53431629798,0.0,0.0,0.0,0.0162340949798,0.999868218397,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.893198535019716e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7137884165917714e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0005303157186,0.0,0.0,0.0,0.0,-16.7400910405,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:26:43.186158,1074,1539779203,185957758,odom,base_link,3.51067972443,-1.53452606405,0.0,0.0,0.0,0.0164624825348,0.999864484152,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9209955287519265e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8177574435650151e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00341172207835,0.0,0.0,0.0,0.0,-16.7384486328,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
