time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/17/14:29:04.586209,2488,1539779344,585938233,odom,base_link,3.78498309048,-1.53842375965,0.0,0.0,0.0,0.720161254115,0.693806722417,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.301634722403477e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0170411958209245e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00158706557875,0.0,0.0,0.0,0.0,-830.243430976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:04.686257,2489,1539779344,686029022,odom,base_link,3.78504801922,-1.53847149443,0.0,0.0,0.0,0.720203057452,0.693763328547,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.922081098734131e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0582899400771273e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000637415384412,0.0,0.0,0.0,0.0,-829.624251668,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:04.786165,2490,1539779344,785944151,odom,base_link,3.78417572778,-1.5384295657,0.0,0.0,0.0,0.719771826346,0.694210715849,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.735155673402634e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1247966979448585e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00200760556777,0.0,0.0,0.0,0.0,-831.26794756,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:04.886229,2491,1539779344,886030201,odom,base_link,3.78460938549,-1.53836175101,0.0,0.0,0.0,0.720069092773,0.693902371831,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.123991356573381e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.211727924974156e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00297048602845,0.0,0.0,0.0,0.0,-829.235406874,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:04.986212,2492,1539779344,986013617,odom,base_link,3.78459257394,-1.53843548489,0.0,0.0,0.0,0.719848824229,0.694130874011,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.450121059850184e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.277341256886533e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0052568861385,0.0,0.0,0.0,0.0,-830.059510943,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:05.086285,2493,1539779345,86047769,odom,base_link,3.78464447026,-1.5383014576,0.0,0.0,0.0,0.719937919968,0.694038465355,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.674838311720752e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3668447971631347e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00208750546154,0.0,0.0,0.0,0.0,-829.478161666,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:05.186152,2494,1539779345,185960245,odom,base_link,3.78526059345,-1.53832540229,0.0,0.0,0.0,0.720048579949,0.693923657554,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.934675347629827e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.452517223838024e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00347449265472,0.0,0.0,0.0,0.0,-830.349653794,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:05.286159,2495,1539779345,285988727,odom,base_link,3.78529207296,-1.53826647636,0.0,0.0,0.0,0.720057542837,0.69391435711,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.238876354632005e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5542239168286185e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00058895149859,0.0,0.0,0.0,0.0,-829.103245873,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:05.386184,2496,1539779345,386022223,odom,base_link,3.7861706837,-1.53835654801,0.0,0.0,0.0,0.720013928479,0.69395961179,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.718832145958651e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6294832954485535e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00989638885503,0.0,0.0,0.0,0.0,-829.537111656,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/17/14:29:05.486210,2497,1539779345,486000117,odom,base_link,3.78565469239,-1.53840071156,0.0,0.0,0.0,0.720124437298,0.693844935707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.450400235065794e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6897009647203196e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00789109733649,0.0,0.0,0.0,0.0,-829.804353536,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
