time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/11/02/16:41:17.954658,21363,1541173277,937834270,odom,base_link,0.758377015591,0.831221520901,0.0,0.0,0.0,0.911838874766,0.41054825108,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.820483139731573e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5756633002439456e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0120718528746,0.0,0.0,0.0,0.0,-2417.35477877,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:17.973909,21364,1541173277,972681739,odom,base_link,0.758785426617,0.831124424934,0.0,0.0,0.0,0.911820122757,0.410589897263,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.624940586321843e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.409155935440233e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0121136807172,0.0,0.0,0.0,0.0,-3663.69729029,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.001258,21365,1541173277,987020685,odom,base_link,0.758961141109,0.831085324287,0.0,0.0,0.0,0.911810390645,0.410611509231,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0162265271310828e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3920270146606911e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.012783694609,0.0,0.0,0.0,0.0,-9208.19606813,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.017427,21366,1541173278,16648651,odom,base_link,0.759314239025,0.831008732319,0.0,0.0,0.0,0.911804485517,0.410624621997,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0676735779470275e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4193344394502416e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0122717041498,0.0,0.0,0.0,0.0,-4335.28231861,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.026304,21367,1541173278,25338135,odom,base_link,0.759433805943,0.830982267857,0.0,0.0,0.0,0.911805633751,0.410622072299,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1101305338985728e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4682874188102582e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0156036830424,0.0,0.0,0.0,0.0,-16625.4522879,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.072562,21368,1541173278,57357326,odom,base_link,0.759801805019,0.830901920795,0.0,0.0,0.0,0.911799455075,0.410635792065,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.154625537671292e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5207578109944897e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0118216442237,0.0,0.0,0.0,0.0,-3995.96773551,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.095777,21369,1541173278,79683274,odom,base_link,0.760125756264,0.83082985878,0.0,0.0,0.0,0.91179278406,0.410650604451,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2000091575646485e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5762511541181667e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0149698332368,0.0,0.0,0.0,0.0,-5800.61085593,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.095849,21370,1541173278,93950701,odom,base_link,0.760324478149,0.830784678459,0.0,0.0,0.0,0.911797650644,0.410639798704,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2283834405774932e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6333578139793302e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0145933717551,0.0,0.0,0.0,0.0,-9285.65399788,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.134336,21371,1541173278,132470156,odom,base_link,0.76079249382,0.830673396587,0.0,0.0,0.0,0.911804868263,0.410623772098,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2573076825301605e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6815365121056502e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0125549110936,0.0,0.0,0.0,0.0,-3300.66425131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/11/02/16:41:18.165167,21372,1541173278,162162334,odom,base_link,0.761192917824,0.830576837063,0.0,0.0,0.0,0.911807766167,0.410617337137,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2842142925048905e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7203652845844258e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0139589830163,0.0,0.0,0.0,0.0,-4325.30892421,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
