,err_angle,err_dist,err_predict
0,0,0,0
1,0.2637995867,0.0093601392,0.0093601392
2,0.449334435,0.0047808143,0.0145262206
3,0.4525893921,0.0051639153,0.009932784
4,0.451315993,0.0055946403,0.0107456113
5,0.4568881453,0.0059919643,0.0116369914
6,0.0849697139,0.0387807577,0.0334989766
7,0.5498402926,0.0015505183,0.0463807507
8,0.1992650397,0,0.0015384242
9,0.3576690387,0.0118257273,0.0118257273
10,0.5195712697,0.0059615005,0.0169778697
11,0.5179675701,0.0066570853,0.0126262279
12,0.5122384829,0.0063377771,0.01277482
13,0.5154996436,0.0070844546,0.0135986773
14,0.0068112188,0.0467268286,0.0396378801
15,0.6457291034,0.0016091175,0.0502750613
16,0.6205040096,0.0044530319,0.0057237726
17,0.5975620582,0.0030368754,0.0074474631
18,0.598613357,0.0030815427,0.0059848679
19,0.5984144978,0.003188965,0.006185877
20,0.6052423798,0.0033565818,0.0064143806
21,0.624654652,0.0039023895,0.0068688971
22,0.1316649558,0.0242810638,0.0219444916
23,0.5328329441,0.0007187526,0.0323503518
24,0.6228215531,0.0018144733,0.0023761465
25,0.0993940407,0.0007162018,0.0008743379
26,0.1716634763,0.0013558203,0.0012167159
27,0.1038029075,0.0005952342,0.0005316027
28,0.1171445196,0.00067279,0.0005475783
29,0.0393835607,0.0185593021,0.0178222403
30,0.0352525313,0.0009733594,0.0176891632
31,0.0137089376,0.0029266624,0.0019227607
32,0.0687529821,0.001375758,0.0018402911
33,0.069459547,0.0013897702,0.000591453
34,0.0539748894,0.0014193087,0.0004727572
35,0.0594780458,0.0013798905,0.0005143338
36,0.0702901967,0.0016740305,0.0007293754
37,0.4882451007,0.025794489,0.027342715
38,0.4101194261,0.0021940003,0.028267895
39,0.5577862891,0.0018745652,0.0036881752
40,0.5814183704,0.0019197611,0.0036490063
41,0.5328824754,0.0017014691,0.0034296352
42,0.5672594588,0.0020439614,0.0037349705
43,0.5472479652,0.0019570422,0.0038149908
44,0.0574355272,0.0080797197,0.0062783341
45,0.5632621414,8.46384711154E-05,0.007682801
46,0.6282200935,0.002591749,0.0026548998
47,0.265986734,0.0010622422,0.0028060858
48,0.2714054054,0.0009904694,0.001480126
49,0.2864133903,0.0010096909,0.0014934225
50,0.2882142806,0.0012388135,0.0017406951
51,0.0223640169,0.0157498944,0.0148261539
52,0.1981094257,0,0.0184035348
53,0.1722114115,0.0029985853,0.0029985853
54,0.0271766545,0.0018374099,0.0011679093
55,0.0171586402,0.0017308881,0.0002558558
56,0.0222490014,0.0016712805,0.0002400366
57,0.0174034976,0.0015872027,0.000211284
58,0.5319363095,0.0110183852,0.0126096695
59,0.1977861289,0,0.0107572474
60,0.3354377963,0.0005802114,0.0005802114
61,0.3961604226,0.001295919,0.0024733365
62,0.4028114778,0.0014453742,0.0026336844
63,0.404412604,0.0014155857,0.0027992558
64,0.3967764154,0.0015507609,0.0030285665
65,0.3167356325,0.0133127797,0.0141175841
66,0.4215371179,0.0012358083,0.0103944278
67,0.4796306815,0.0034152383,0.0046491026
68,0.4958979136,0.0024598361,0.0061645273
69,0.4823043842,0.0026654735,0.0051794923
70,0.4533421372,0.0029823662,0.0056653776
71,0.4582690189,0.0031577359,0.0060964902
72,0.4720755663,0.0033356956,0.0065206342
73,0.0718510611,0.0201830052,0.0171201805
74,0.198705096,0,0.0229551423
75,0.2362567293,0.0032783403,0.0032783403
76,0.3762210731,0.0019688728,0.0048269796
77,0.3885826041,0.0019218237,0.0036574345
