time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/19/11:54:00.824581,14627,1539942840,815783234,odom,base_link,2.1308807627,0.879556003431,0.0,0.0,0.0,0.980649808051,0.195770155972,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006771952880975542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011306817637899513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0578828572353,0.0,0.0,0.0,0.0,-1686.59366249,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:00.909926,14628,1539942840,908746681,odom,base_link,2.13512681179,0.879380442209,0.0,0.0,0.0,0.980596514077,0.196036926571,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000680620245471676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011344109965704085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0485495615007,0.0,0.0,0.0,0.0,-1567.48382764,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.021559,14629,1539942841,18590172,odom,base_link,2.14071466573,0.879461305506,0.0,0.0,0.0,0.980576931265,0.196134856338,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006754033078969636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011314684544779594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0517510129263,0.0,0.0,0.0,0.0,-1282.15344007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.120730,14630,1539942841,119187358,odom,base_link,2.14605127217,0.879606406257,0.0,0.0,0.0,0.980562224675,0.196208367664,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006727470810632155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011278360421723357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0543268543754,0.0,0.0,0.0,0.0,-1428.27264773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.215496,14631,1539942841,214789538,odom,base_link,2.10462047463,0.882463704353,0.0,0.0,0.0,0.980175808666,0.198129715355,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006682350021005503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011073419847433851, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.429350331921,0.0,0.0,0.0,0.0,-1507.94263431,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.309125,14632,1539942841,308569847,odom,base_link,2.10462047463,0.882463704353,0.0,0.0,0.0,0.980175808666,0.198129715355,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000649425573685951, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011029028432120962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,-1522.11645281,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.424670,14633,1539942841,412765466,odom,base_link,2.11242292663,0.885603482825,0.0,0.0,0.0,0.980411498788,0.196960130597,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006295234281162757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010935539886919565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.068583186963,0.0,0.0,0.0,0.0,-1354.10380786,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.524642,14634,1539942841,523479910,odom,base_link,2.09141588827,0.879615195887,0.0,0.0,0.0,0.980217155167,0.197925058334,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006262407492472523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010586773992233406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.188660794635,0.0,0.0,0.0,0.0,-1266.74391079,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.617785,14635,1539942841,615250965,odom,base_link,2.09330913458,0.878943809574,0.0,0.0,0.0,0.980178763404,0.198115097283,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00062477045643432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001007108801745925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0224430474064,0.0,0.0,0.0,0.0,-1559.86000704,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/11:54:01.725065,14636,1539942841,723216596,odom,base_link,2.09570342114,0.878123690006,0.0,0.0,0.0,0.980118728937,0.198411887717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006234849117763992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.448457347493365e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0242871563717,0.0,0.0,0.0,0.0,-1301.12453637,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
