time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/10/19/13:48:02.749491,3479,1539949682,745552219,odom,base_link,1.7619208243,1.36629416963,0.0,0.0,0.0,0.993176948748,0.116617101986,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0025952431838566e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.53709845705598e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00436360434725,0.0,0.0,0.0,0.0,-705.324017532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:02.773299,3480,1539949682,771636455,odom,base_link,1.7619208243,1.36629416963,0.0,0.0,0.0,0.993176948748,0.116617101986,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.006609690089047e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.420289663861713e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,-6285.90693641,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:02.906130,3481,1539949682,904704686,odom,base_link,1.76310006856,1.37254629609,0.0,0.0,0.0,0.992845711494,0.119404326419,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0242854058171764e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.31978018404962e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0837804985761,0.0,0.0,0.0,0.0,-1087.77211024,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:02.986851,3482,1539949682,983907804,odom,base_link,1.76311815882,1.3730510884,0.0,0.0,0.0,0.992855184558,0.119325531622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.042396081600707e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.185807508213036e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00473614544361,0.0,0.0,0.0,0.0,-1939.56692939,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:03.054439,3483,1539949683,53375989,odom,base_link,1.76311815882,1.3730510884,0.0,0.0,0.0,0.992855184558,0.119325531622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.05798910252731e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.01409830951871e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,-2235.90868346,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:03.177274,3484,1539949683,161580127,odom,base_link,1.76240254997,1.3746059068,0.0,0.0,0.0,0.992801825208,0.119768676468,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.063556791874088e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.041966151572066e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.021784404027,0.0,0.0,0.0,0.0,-1372.90683866,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:03.270969,3485,1539949683,262001292,odom,base_link,1.76205113405,1.37566075304,0.0,0.0,0.0,0.992798986156,0.119792207956,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.067088422012463e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.08709206155289e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0114383241206,0.0,0.0,0.0,0.0,-1492.82996364,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:03.406667,3486,1539949683,404960747,odom,base_link,1.76161617224,1.37702203536,0.0,0.0,0.0,0.992785628754,0.119902857928,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.069994036595326e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.178293439435197e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0111822221371,0.0,0.0,0.0,0.0,-1000.17297836,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:03.461858,3487,1539949683,459353124,odom,base_link,1.76150765798,1.37760492181,0.0,0.0,0.0,0.992782387287,0.119929693958,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0523907742080535e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.300225858844402e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0117417559061,0.0,0.0,0.0,0.0,-2907.19034186,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/10/19/13:48:03.592917,3488,1539949683,591928258,odom,base_link,1.76137498315,1.37933110018,0.0,0.0,0.0,0.992793848926,0.119834775983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0143530106118545e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.478225062430469e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0120375074087,0.0,0.0,0.0,0.0,-1102.05617273,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
